Time,lat_estimated,lon_estimated,latitude,longitude,RealTime,CalculationTime,MeasuredVelocity,FilteredVelocity,Roll,SteeringAngle,RollRate,gy,gz,ax,ay,az,imu_read_timing,v_estimated,yaw_estimated,heading_estimated,x_estimated,y_estimated,GPS_timestamp,x_GPS,y_GPS,theta_GPS,theta_GPS_noUnwrap,status,NMEA timestamp
0.24242,57.68810483,11.97968050,57.68810483,11.97968050,13:16:07.266134,0.00736,0.00000,0.00000,-0.00029,0.00000,0.00199,-0.00014,-0.00004,0.11450,-0.19380,0.96288,0.23247,0.00010,0.00000,0.00000,0.29095,-0.03296,0.10550,0.15850,0.00000,0.00000,0.00000,A,131607.10
0.25318,57.68810483,11.97968050,57.68810483,11.97968050,13:16:07.276902,0.00789,0.00000,0.00000,-0.00031,0.00000,0.00107,0.00184,-0.00172,0.11499,-0.19410,0.96258,0.24272,0.00010,0.00000,0.00000,0.29095,-0.03296,0.10550,0.15850,0.00000,0.00000,0.00000,A,131607.10
0.26290,57.68810483,11.97968050,57.68810483,11.97968050,13:16:07.286607,0.00740,0.00000,0.00000,-0.00032,0.00000,0.00122,-0.00090,0.00134,0.11608,-0.19313,0.96417,0.25294,0.00010,0.00000,0.00000,0.29095,-0.03296,0.10550,0.15850,0.00000,0.00000,0.00000,A,131607.10
0.27291,57.68810483,11.97968050,57.68810483,11.97968050,13:16:07.296624,0.00724,0.00000,0.00000,-0.00034,0.00000,0.00077,-0.00167,0.00561,0.11309,-0.19465,0.96392,0.26314,0.00010,0.00000,0.00000,0.29095,-0.03296,0.10550,0.15850,0.00000,0.00000,0.00000,A,131607.10
0.28322,57.68810483,11.97968050,57.68810483,11.97968050,13:16:07.306923,0.00736,0.00000,0.00000,-0.00037,0.00000,-0.00046,0.00139,0.00668,0.11505,-0.19270,0.96221,0.27329,0.00010,0.00000,0.00000,0.29095,-0.03296,0.10550,0.15850,0.00000,0.00000,0.00000,A,131607.10
0.29342,57.68810483,11.97968050,57.68810483,11.97968050,13:16:07.317134,0.00738,0.00000,0.00000,-0.00039,0.00000,0.00077,-0.00304,0.00027,0.11193,-0.19343,0.96362,0.28347,0.00010,0.00000,0.00000,0.29095,-0.03296,0.10550,0.15850,0.00000,0.00000,0.00000,A,131607.10
0.30878,57.68810483,11.97968050,57.68810483,11.97968050,13:16:07.332480,0.01256,0.00000,0.00000,-0.00042,0.00000,-0.00046,-0.00060,0.00149,0.11499,-0.19355,0.96087,0.29452,0.00010,0.00000,0.00000,0.29095,-0.03296,0.29342,0.15850,0.00000,0.00000,0.00000,A,131607.20
0.31933,57.68810483,11.97968050,57.68810483,11.97968050,13:16:07.343044,0.00870,0.00000,0.00000,-0.00042,0.00000,0.00290,-0.00121,0.00164,0.11535,-0.19233,0.96362,0.30877,0.00010,0.00000,0.00000,0.29096,-0.03296,0.29342,0.15850,0.00000,0.00000,0.00000,A,131607.20
0.32881,57.68810483,11.97968050,57.68810483,11.97968050,13:16:07.352518,0.00809,0.00000,0.00000,-0.00042,0.00000,0.00183,0.00001,-0.00019,0.11261,-0.19392,0.95904,0.31868,0.00010,0.00000,0.00000,0.29096,-0.03296,0.29342,0.15850,0.00000,0.00000,0.00000,A,131607.20
0.33809,57.68810483,11.97968050,57.68810483,11.97968050,13:16:07.361850,0.00719,0.00000,0.00000,-0.00041,0.00000,0.00336,-0.00167,-0.00233,0.11376,-0.19294,0.96112,0.32845,0.00010,0.00000,0.00000,0.29096,-0.03296,0.29342,0.15850,0.00000,0.00000,0.00000,A,131607.20
0.34868,57.68810483,11.97968050,57.68810483,11.97968050,13:16:07.372362,0.00759,0.00000,0.00000,-0.00041,0.00000,0.00244,0.00093,-0.00095,0.11468,-0.19166,0.96136,0.33861,0.00010,0.00000,0.00000,0.29096,-0.03296,0.29342,0.15850,0.00000,0.00000,0.00000,A,131607.20
0.35947,57.68810483,11.97968050,57.68810483,11.97968050,13:16:07.383187,0.00819,0.00000,0.00000,-0.00043,0.00000,0.00138,-0.00243,0.00027,0.11425,-0.19453,0.96349,0.34879,0.00010,0.00000,0.00000,0.29096,-0.03296,0.29342,0.15850,0.00000,0.00000,0.00000,A,131607.20
0.36950,57.68810483,11.97968050,57.68810483,11.97968050,13:16:07.393188,0.00795,0.00000,0.00000,-0.00043,0.00000,0.00046,-0.00381,-0.00034,0.11486,-0.19367,0.96124,0.35940,0.00010,0.00000,0.00000,0.29096,-0.03296,0.29342,0.15850,0.00000,0.00000,0.00000,A,131607.20
0.37892,57.68810483,11.97968050,57.68810483,11.97968050,13:16:07.402631,0.00710,0.00000,0.00000,-0.00047,0.00000,-0.00137,-0.00228,0.00195,0.11169,-0.19386,0.96044,0.36940,0.00010,0.00000,0.00000,0.29096,-0.03296,0.29342,0.15850,0.00000,0.00000,0.00000,A,131607.20
0.38909,57.68810483,11.97968050,57.68810483,11.97968050,13:16:07.412812,0.00701,0.00000,0.00000,-0.00046,0.00000,0.00351,0.00276,-0.00416,0.11261,-0.19355,0.96142,0.37953,0.00010,0.00000,0.00000,0.29096,-0.03296,0.29342,0.15850,0.00000,0.00000,0.00000,A,131607.20
0.40075,57.68810483,11.97968050,57.68810483,11.97968050,13:16:07.424434,0.00849,0.00000,0.00000,-0.00049,0.00000,-0.00061,0.00093,-0.00080,0.11254,-0.19233,0.96154,0.38969,0.00010,0.00000,0.00000,0.29096,-0.03296,0.29342,0.15850,0.00000,0.00000,0.00000,A,131607.20
0.41637,57.68810483,11.97968050,57.68810483,11.97968050,13:16:07.440139,0.01383,0.00000,0.00000,-0.00052,0.00000,0.00015,0.00184,-0.00019,0.11120,-0.19355,0.96532,0.39995,0.00010,0.00000,0.00000,0.29096,-0.03296,0.40075,0.15850,0.00000,0.00000,0.00000,A,131607.30
0.42625,57.68810483,11.97968050,57.68810483,11.97968050,13:16:07.449934,0.00859,0.00000,0.00000,-0.00055,0.00000,0.00000,-0.00152,0.00012,0.11352,-0.19203,0.96081,0.41556,0.00010,0.00000,0.00000,0.29097,-0.03296,0.40075,0.15850,0.00000,0.00000,0.00000,A,131607.30
0.43594,57.68810483,11.97968050,57.68810483,11.97968050,13:16:07.459626,0.00798,0.00000,0.00000,-0.00058,0.00000,-0.00107,0.00093,-0.00019,0.11218,-0.19380,0.96307,0.42582,0.00010,0.00000,0.00000,0.29097,-0.03296,0.40075,0.15850,0.00000,0.00000,0.00000,A,131607.30
0.44565,57.68810483,11.97968050,57.68810483,11.97968050,13:16:07.469368,0.00723,0.00000,0.00000,-0.00060,0.00000,0.00015,0.00291,-0.00248,0.11438,-0.19270,0.96179,0.43584,0.00010,0.00000,0.00000,0.29097,-0.03296,0.40075,0.15850,0.00000,0.00000,0.00000,A,131607.30
0.45728,57.68810483,11.97968050,57.68810483,11.97968050,13:16:07.480973,0.00868,0.00000,0.00000,-0.00060,0.00000,0.00107,-0.00152,-0.00050,0.11273,-0.19331,0.96069,0.44698,0.00010,0.00000,0.00000,0.29097,-0.03296,0.40075,0.15850,0.00000,0.00000,0.00000,A,131607.30
0.46788,57.68810483,11.97968050,57.68810483,11.97968050,13:16:07.491565,0.00877,0.00000,0.00000,-0.00060,0.00000,0.00199,0.00032,-0.00034,0.11346,-0.19538,0.96063,0.45772,0.00010,0.00000,0.00000,0.29097,-0.03296,0.40075,0.15850,0.00000,0.00000,0.00000,A,131607.30
0.47848,57.68810483,11.97968050,57.68810483,11.97968050,13:16:07.502189,0.00692,0.00000,0.00000,-0.00060,0.00000,0.00031,-0.00152,-0.00019,0.11450,-0.19587,0.96282,0.46897,0.00010,0.00000,0.00000,0.29097,-0.03296,0.40075,0.15850,0.00000,0.00000,0.00000,A,131607.30
0.48967,57.68810483,11.97968050,57.68810483,11.97968050,13:16:07.513359,0.00794,0.00000,0.00000,-0.00058,0.00000,0.00351,0.00276,0.00088,0.11193,-0.19264,0.96471,0.47959,0.00010,0.00000,0.00000,0.29097,-0.03296,0.40075,0.15850,0.00000,0.00000,0.00000,A,131607.30
0.49938,57.68810483,11.97968050,57.68810483,11.97968050,13:16:07.523106,0.00747,0.00000,0.00000,-0.00061,0.00000,-0.00321,-0.00274,-0.00080,0.11322,-0.19398,0.96325,0.48934,0.00010,0.00000,0.00000,0.29097,-0.03296,0.40075,0.15850,0.00000,0.00000,0.00000,A,131607.30
0.51536,57.68810483,11.97968050,57.68810483,11.97968050,13:16:07.539042,0.01328,0.00000,0.00000,-0.00064,0.00000,-0.00061,-0.00182,0.00088,0.11645,-0.19636,0.96197,0.49993,0.00010,0.00000,0.00000,0.29097,-0.03296,0.49938,0.15850,0.00000,0.00000,0.00000,A,131607.40
0.52561,57.68810483,11.97968050,57.68810483,11.97968050,13:16:07.549297,0.00906,0.00000,0.00000,-0.00068,0.00000,-0.00168,-0.00014,0.00012,0.11346,-0.19300,0.96099,0.51463,0.00010,0.00000,0.00000,0.29098,-0.03296,0.49938,0.15850,0.00000,0.00000,0.00000,A,131607.40
0.53531,57.68810483,11.97968050,57.68810483,11.97968050,13:16:07.558998,0.00848,0.00000,0.00000,-0.00070,0.00000,-0.00015,0.00001,-0.00065,0.11431,-0.19221,0.96447,0.52424,0.00010,0.00000,0.00000,0.29098,-0.03296,0.49938,0.15850,0.00000,0.00000,0.00000,A,131607.40
0.54451,57.68810483,11.97968050,57.68810483,11.97968050,13:16:07.568232,0.00749,0.00000,0.00000,-0.00071,0.00000,0.00015,0.00184,-0.00111,0.11566,-0.19416,0.95990,0.53470,0.00010,0.00000,0.00000,0.29098,-0.03296,0.49938,0.15850,0.00000,0.00000,0.00000,A,131607.40
0.55465,57.68810483,11.97968050,57.68810483,11.97968050,13:16:07.578345,0.00743,0.00000,0.00000,-0.00072,0.00000,0.00138,-0.00060,0.00103,0.11444,-0.19319,0.95971,0.54466,0.00010,0.00000,0.00000,0.29098,-0.03296,0.49938,0.15850,0.00000,0.00000,0.00000,A,131607.40
0.56586,57.68810483,11.97968050,57.68810483,11.97968050,13:16:07.589576,0.00846,0.00000,0.00000,-0.00074,0.00000,-0.00061,-0.00197,0.00057,0.11505,-0.19435,0.96051,0.55486,0.00010,0.00000,0.00000,0.29098,-0.03296,0.49938,0.15850,0.00000,0.00000,0.00000,A,131607.40
0.57503,57.68810483,11.97968050,57.68810483,11.97968050,13:16:07.598753,0.00746,0.00000,0.00000,-0.00078,0.00000,-0.00153,0.00215,-0.00004,0.11322,-0.19221,0.96368,0.56502,0.00010,0.00000,0.00000,0.29098,-0.03296,0.49938,0.15850,0.00000,0.00000,0.00000,A,131607.40
0.58523,57.68810483,11.97968050,57.68810483,11.97968050,13:16:07.608944,0.00745,0.00000,0.00000,-0.00081,0.00000,-0.00214,-0.00289,0.00241,0.11303,-0.19337,0.96105,0.57523,0.00010,0.00000,0.00000,0.29098,-0.03296,0.49938,0.15850,0.00000,0.00000,0.00000,A,131607.40
0.59544,57.68810483,11.97968050,57.68810483,11.97968050,13:16:07.619152,0.00748,0.00000,0.00000,-0.00081,0.00000,0.00229,-0.00228,0.00180,0.11370,-0.19276,0.96343,0.58581,0.00010,0.00000,0.00000,0.29098,-0.03296,0.49938,0.15850,0.00000,0.00000,0.00000,A,131607.40
0.60976,57.68810483,11.97968050,57.68810483,11.97968067,13:16:07.633462,0.01151,0.00000,0.00000,-0.00081,0.00000,-0.00015,-0.00029,-0.00279,0.11309,-0.19178,0.96002,0.59572,0.00010,0.00000,0.00000,0.29098,-0.03296,0.59544,0.16840,0.00000,0.00000,0.00000,A,131607.50
0.61951,57.68810483,11.97968050,57.68810483,11.97968067,13:16:07.643224,0.00846,0.00000,0.00000,-0.00085,0.00000,-0.00275,-0.00167,0.00210,0.11480,-0.19227,0.96154,0.60859,0.00017,0.00000,0.00000,0.34769,-0.03565,0.59544,0.16840,0.00000,0.00000,0.00000,A,131607.50
0.62946,57.68810483,11.97968050,57.68810483,11.97968067,13:16:07.653173,0.00823,0.00000,0.00000,-0.00085,0.00000,0.00229,0.00276,-0.00202,0.11456,-0.19313,0.96221,0.61873,0.00017,0.00000,0.00000,0.34769,-0.03565,0.59544,0.16840,0.00000,0.00000,0.00000,A,131607.50
0.63891,57.68810483,11.97968050,57.68810483,11.97968067,13:16:07.662624,0.00742,0.00000,0.00000,-0.00085,0.00000,0.00153,0.00154,-0.00141,0.11273,-0.19355,0.96124,0.62890,0.00017,0.00001,0.00000,0.34769,-0.03565,0.59544,0.16840,0.00000,0.00000,0.00000,A,131607.50
0.64903,57.68810483,11.97968050,57.68810483,11.97968067,13:16:07.672740,0.00737,0.00000,0.00000,-0.00080,0.00000,0.00596,-0.00029,-0.00233,0.11450,-0.19441,0.96343,0.63953,0.00017,0.00001,0.00000,0.34769,-0.03565,0.59544,0.16840,0.00000,0.00000,0.00000,A,131607.50
0.65916,57.68810483,11.97968050,57.68810483,11.97968067,13:16:07.682873,0.00732,0.00000,0.00000,-0.00080,0.00000,0.00153,-0.00075,0.00073,0.11297,-0.19087,0.96240,0.64926,0.00017,0.00001,0.00000,0.34769,-0.03565,0.59544,0.16840,0.00000,0.00000,0.00000,A,131607.50
0.66997,57.68810483,11.97968050,57.68810483,11.97968067,13:16:07.693688,0.00795,0.00000,0.00000,-0.00078,0.00000,0.00275,0.00093,0.00103,0.11328,-0.19245,0.96154,0.65962,0.00017,0.00001,0.00000,0.34769,-0.03565,0.59544,0.16840,0.00000,0.00000,0.00000,A,131607.50
0.68026,57.68810483,11.97968050,57.68810483,11.97968067,13:16:07.703966,0.00807,0.00000,0.00000,-0.00075,0.00000,0.00244,-0.00090,-0.00080,0.11462,-0.19422,0.96209,0.67053,0.00017,0.00001,0.00000,0.34770,-0.03565,0.59544,0.16840,0.00000,0.00000,0.00000,A,131607.50
